gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CLV,AvgMonthlyCharges,ServiceCount,TenureGroup,ChargeGroup,Churn
0,0,1,0,55,1,2,0,2,2,0,2,0,0,1,1,1,66.05,3462.1,3632.75,61.823214285714286,9,3,2,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,35.25,35.25,35.25,17.625,3,0,1,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,25.15,25.15,25.15,12.575,1,0,0,0
1,0,1,1,23,0,1,0,0,0,0,2,0,0,0,1,0,30.35,678.75,698.0500000000001,28.28125,3,1,0,0
0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,1,19.65,830.25,786.0,20.25,9,2,0,0
1,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,76.25,684.85,686.25,68.485,4,0,2,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,69.95,69.95,69.95,34.975,2,0,2,1
0,0,0,0,64,1,2,0,2,2,2,2,2,2,2,1,1,86.4,5442.05,5529.6,83.72384615384615,15,3,2,0
0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.6,90.6,90.6,45.3,6,0,2,1
1,0,0,1,8,0,1,0,2,0,0,2,0,2,2,1,3,44.55,343.45,356.4,38.16111111111111,7,0,1,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.85,19.85,19.85,9.925,9,0,0,0
1,0,1,1,67,1,2,0,2,0,2,0,2,2,2,1,2,79.7,5293.4,5339.900000000001,77.84411764705882,11,3,2,1
0,0,0,0,35,1,0,2,1,1,1,1,1,1,0,0,0,19.25,617.65,673.75,17.156944444444445,9,2,0,0
0,1,0,0,45,0,1,0,0,0,0,0,0,2,1,0,2,34.2,1596.6,1539.0000000000002,34.70869565217391,3,2,0,0
1,0,0,0,44,1,0,1,0,0,2,2,2,2,2,0,0,100.1,4378.35,4404.4,97.29666666666668,10,2,3,0
1,1,0,0,54,0,1,0,0,2,2,0,2,2,1,1,2,55.45,2966.95,2994.3,53.94454545454545,9,3,1,0
0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,54.75,1266.35,1368.75,48.70576923076923,5,2,1,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.65,70.65,70.65,35.325,2,0,2,1
0,0,0,0,46,1,2,1,2,2,0,0,0,0,0,0,3,84.25,3847.6,3875.5,81.86382978723404,8,2,2,0
0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,75.65,302.35,302.6,60.470000000000006,4,0,2,0
0,0,1,1,67,1,2,0,0,0,2,2,0,2,2,1,0,69.9,4615.9,4683.3,67.88088235294117,9,3,2,0
0,0,0,1,10,1,2,0,2,0,2,2,0,2,1,0,1,73.55,693.3,735.5,63.027272727272724,11,0,2,0
1,0,1,0,72,1,2,1,2,2,2,0,0,2,2,1,2,99.15,7422.1,7138.8,101.67260273972603,12,3,3,0
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1842.8,1971.0,87.75238095238095,10,1,3,1
0,0,1,0,41,1,0,2,1,1,1,1,1,1,2,0,1,20.65,875.55,846.65,20.84642857142857,9,2,0,0
1,0,1,1,66,0,1,0,0,0,2,2,2,2,2,0,0,54.65,3632.0,3606.9,54.208955223880594,9,3,1,0
1,0,0,1,12,1,0,2,1,1,1,1,1,1,0,0,1,21.05,235.8,252.60000000000002,18.138461538461538,9,0,0,0
1,0,1,1,25,1,0,2,1,1,1,1,1,1,1,0,2,19.6,411.15,490.00000000000006,15.813461538461537,9,2,0,0
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,141.45,141.4,47.15,2,0,2,1
1,1,1,0,6,1,2,1,0,0,2,0,0,0,0,1,2,80.8,457.1,484.79999999999995,65.3,6,0,2,0
0,0,0,0,35,1,0,2,1,1,1,1,1,1,1,0,3,20.75,700.45,726.25,19.456944444444446,9,2,0,0
1,1,0,0,68,1,2,1,0,2,2,0,0,2,0,1,2,95.9,6503.2,6521.200000000001,94.24927536231884,10,3,3,0
1,0,1,1,8,1,0,1,0,0,2,0,2,2,0,1,2,94.75,759.55,758.0,84.39444444444445,8,0,2,0
1,1,1,1,50,1,2,0,2,2,2,0,0,2,2,1,0,75.15,3822.45,3757.5000000000005,74.95,11,3,2,0
1,0,1,1,49,0,1,0,2,0,0,0,0,2,0,1,2,39.2,1838.15,1920.8000000000002,36.763000000000005,5,3,1,0
0,0,1,1,58,1,0,1,2,2,0,0,2,2,1,0,1,99.25,5846.65,5756.5,99.0957627118644,10,3,3,0
1,0,1,1,48,1,0,0,0,2,2,0,0,0,1,1,1,55.8,2651.2,2678.3999999999996,54.10612244897959,5,2,1,0
0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,43.95,85.1,87.9,28.366666666666664,1,0,1,0
0,0,0,0,64,1,2,1,0,0,2,0,2,2,1,1,1,100.05,6254.2,6403.2,96.21846153846154,10,3,3,1
0,0,1,0,57,1,2,1,0,2,2,0,2,2,0,1,1,104.5,5921.35,5956.5,102.09224137931035,12,3,3,1
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,79.55,79.55,79.55,39.775,4,0,2,1
1,0,1,1,47,1,2,1,0,2,0,0,2,0,0,0,2,87.2,4017.45,4098.400000000001,83.69687499999999,8,2,2,0
1,0,0,0,17,1,0,0,2,2,0,0,0,0,0,1,1,55.5,934.15,943.5,51.89722222222222,5,1,1,0
1,0,0,0,20,1,2,1,0,0,0,0,2,0,0,1,2,85.25,1734.5,1705.0,82.5952380952381,6,1,2,1
1,0,1,1,9,1,2,1,0,0,2,0,0,0,0,1,0,79.35,661.25,714.15,66.125,6,0,2,1
1,0,1,0,23,1,2,1,2,2,2,0,2,0,0,1,2,99.25,2186.4,2282.75,91.10000000000001,12,1,3,1
